rank,editor_id,editor_name,applied_edit_count
1,1319546,-alf-,6227112
2,606889,HibiscusKazeneko,3344332
3,326637,reosarevok,3092004
4,508573,stupidname,2281552
5,224057,drsaunde,2189224
6,632964,ListMyCDs.com,1663795
7,414320,chabreyflint,1662460
8,2012171,Tiske Tisja,1418214
9,561161,chaban,1325426
10,1317704,tigerman325,1277282
11,199482,MrH,1191783
12,2033600,ThePeelSession,1126474
13,52304,CyberSkull,1026299
14,1126444,vzell,989764
15,407536,fmera,913107
16,38521,wonder_al,871296
17,62590,Deleted Editor #62590,845792
18,564208,Anakunda,825023
19,695015,loujin,808119
20,414287,XonE,792010
21,321185,liftarn,743237
22,2409660,YoGo,686393
23,1559371,a23bed,670764
24,4,ModBot,657737
25,483691,rochusw,652815
26,1896301,dragonzeron,650368
27,360197,monxton,645786
28,458970,ibitsu,628946
29,2072769,ms0010,613501
30,251759,otters61,609041
31,1785874,crs8,601786
32,750687,area_bot,585385
33,859896,ligeia,574799
34,502063,fedcor,572498
35,667117,Deleted Editor #667117,555555
36,2094889,Deleted Editor #2094889,551631
37,1440677,Deleted Editor #1440677,550150
38,127391,salo.rock,537901
39,2081662,Akeldama,529561
40,2274995,windows,502717
41,1532636,holesovice,502390
42,285909,jesus2099,496813
43,554353,yindesu,494262
44,1244720,EvilHansMoser,478352
45,691876,finalsummer,464129
46,481628,nikki_bot,458108
47,446280,rossetyler,456965
48,372321,fred576,449156
49,259488,Yurim,447630
50,2138780,sound.and.vision,441306
51,123970,raelthelamb,440936
52,668853,ProfChris,438604
53,619519,murdos_bot,438305
54,2110175,DenizC,430672
55,1448572,wcw1966,429489
56,1962867,IvanDobsky,425054
57,1723579,Albino-Gaming,419602
58,53705,nikki,417129
59,339923,mr_maxis,416069
60,1032528,MajorLurker,412129
61,1764008,aledjames,406307
62,1435831,oparin1954,401105
63,192108,mudcrow,396276
64,29366,murdos,396144
65,1148900,silentbird,388467
66,463559,aerozol,382581
67,1968837,Pianca82,376600
68,1975551,highstrung,374163
69,1307588,Cryoclaste,367258
70,291699,zos18,365795
71,2107733,agatzk,361202
72,594475,Zas,354160
73,2463836,msmorale,347623
74,388788,HumHumXX,333508
75,586689,SimonHova,326080
76,420821,Deleted Editor #420821,319894
77,1766068,Darkloke,316695
78,606695,hrglgrmpf_bot,312874
79,841998,Wheeljack,294951
80,36714,ojnkpjg,281890
81,2039206,psyburr,279979
82,2158501,albiekOH330,276307
83,95678,Deleted Editor #95678,273615
84,1183270,chirlu/bot,267745
85,2134167,dvirtz,258175
86,296262,Fabe56,257954
87,1907346,MrAndrewPalace,257899
88,141250,pankkake,252888
89,165158,portik,251537
90,1796307,q_fdb,250500
91,1737390,willo123,249573
92,1551885,dashv,248467
93,2268906,afrocat,247152
94,85608,ulugabi,245474
95,2169167,sammyrayy,242887
96,443915,45adapter,242834
97,2162162,MBBE_Bot,222823
98,704456,Mitch2323,216650
99,705683,pomes27,216333
100,782147,Fifth,210082
101,185722,gswanjord,208068
102,2363013,affronttonature,207749
103,1313697,colbydray,206112
104,1362851,dosoe,203498
105,300757,mhendu,200741
106,2568506,5chickens,200166
107,119175,221bbs,199959
108,68620,zout,199500
109,2197464,TheFanCon,193409
110,99023,texke,188109
111,275512,goch,184381
112,26886,Alfg,183563
113,1629298,BitPerfectRichard,182874
114,115994,Midness,182848
115,635606,boggob,180258
116,2055061,Xythium,177486
117,1304728,Bergenslarsen,174670
118,2185208,Eincrou,174319
119,1986073,anakanak,172304
120,484929,bflaminio,172286
121,1966792,diskotechjam,172216
122,464192,UltimateRiff,171947
123,1989327,iQ4FKyvetYTIdW57VQBV,170996
124,1290924,rikuj,170265
125,514699,SheamusPatt,170199
126,2093892,riwood,169527
127,1302911,winmoment,166916
128,2029971,atj,166676
129,385942,MeinDummy,165807
130,38393,"ApeKattQuest, MonkeyPython",165719
131,476335,refresh_daemon,164786
132,2307798,wtfislibrious,163877
133,153545,Lotheric,163322
134,37736,teleguise,162484
135,1765600,VBZPPlNQyJ,161659
136,697713,magicroundabout,160991
137,2486383,KenParker_CN,160871
138,1590527,Augmente,159699
139,262912,dimpole,156804
140,1077594,GellyN,156196
141,1178207,sibilant,154453
142,1585205,waxie,152329
143,636,Hawke,148185
144,625925,yeeeargh,148052
145,1265101,karpuzikov,147980
146,1856720,undbitz,146923
147,607333,Jokipii_bot,145079
148,85780,chiark,142279
149,166392,ClæpsHydra,140133
150,261743,oblomovx,140023
151,2069151,julian45,136751
152,1651285,Nicolas ANCEAU,136369
153,377630,mfmeulenbelt,135335
154,334556,gen0m,135212
155,286883,joiletjake,134993
156,1509086,zkatzir,133830
157,2404756,alaishaq@gmail.com,133712
158,2227978,bsz,131769
159,516442,slipmaxim,130303
160,335606,danBLOO,130094
161,2270828,RandomMushroom128,130079
162,215985,fen0x,127909
163,1278230,Brownd,127341
164,495807,SultS,126750
165,2126762,eloise_freya,124869
166,1807782,Deleted Editor #1807782,124151
167,563876,Sekhmetouserapis,121217
168,68787,youwantfries,121183
169,1975307,Schwarzwalder,121100
170,626526,rasuni,120796
171,103426,glawie,119949
172,2018433,l_egghead66,118362
173,421304,dj_judas21,118333
174,442739,bgstewart,117764
175,190358,regagain,117736
176,229784,Freso,117372
177,2301688,wileyfoxyx,117106
178,712170,marlonob,114264
179,2231162,mr44er,113256
180,1469086,Bajoran_Steffi,113057
181,2050127,ernstlx,112665
182,125686,Jormangeud,112004
183,2077436,kellnerd,111675
184,1454102,Frankie_Snow,110476
185,2251134,ijabz_bot,110324
186,1486173,HB1973,109454
187,2221405,Anesidora,109243
188,1299187,Likedis Auto,108814
189,81537,alphaseven,107976
190,670166,scwot,107265
191,2160932,5coremtl,106381
192,324215,dimon3000,106297
193,1296719,Gandrushka,106055
194,1281681,goibe,104831
195,2295723,Pastime1256,103772
196,2013231,PatriciaTegtmeier,103669
197,1988842,kakawup,103101
198,2116823,IAmTheBlackMetal,102926
199,102145,dj_empirical,102503
200,35896,steinbdj,102132
201,1364595,Nost-mus,102066
202,584268,RocknRollArchivist,100439
203,137798,voiceinsideyou,100390
204,410770,Salutaurs,100303
205,748388,tityron,100273
206,287138,rafwuk,99652
207,24942,Dainis,99017
208,164047,Z_e_t_a,98496
209,1286958,foxgrrl,96964
210,2377286,pieptuut,95950
211,1765728,justcheckingitout,95589
212,2172809,rouiller,95261
213,2592792,TSWE,95226
214,2081980,FrankyDooDy,95051
215,1318186,Griomo,94865
216,2114058,selflessself,94755
217,2553919,jwillikers,93801
218,298717,dkg,93743
219,70144,felipefontes,93704
220,2430225,fabi123,93551
221,2091047,Harumph,93364
222,2135992,ROpdebee,93289
223,219335,debris77,92946
224,2062079,Alantir,92937
225,72801,keschte,92099
226,2351724,Vac31.,91934
227,2449849,thevanburenboys,91544
228,566868,Pascal_MBZ,91398
229,2280702,J.Bloom,90879
230,388561,amatala,90855
231,1332773,mrgrmr,90850
232,1289742,BestSteve,90713
233,1885715,Moebeus,90684
234,481744,Billy Yank,90610
235,1930774,alex_s7,90339
236,2285340,mistypond,90250
237,379873,ebz777,89851
238,2511845,Jägermaestro,87573
239,1322507,maxmh,87260
240,505621,godIsInTheRadio,86091
241,848980,jsalceda,85880
242,2182152,Deleted Editor #2182152,85295
243,333050,KRSCuan,85051
244,68850,darkshyne,83324
245,2496932,_Kolibri_,83101
246,2272100,RadioRin,82235
247,2112109,osdt.de,82178
248,2535067,dariodp,82110
249,912264,Chilkara,81525
250,2051067,Cetacea,81371
251,2530360,zVu3Xqt,81327
252,1255383,caflores,80976
253,2258363,ladywhiskers94,80899
254,1886069,Verbex,80808
255,368713,bgibbard,80756
256,2065135,weissnicht01,80593
257,2368737,theapplemaniac,79562
258,1087579,AlddiHagg,79556
259,1307315,wanda2,79039
260,2288146,mcknightenham,78850
261,1164294,Eichi76,78779
262,275757,neau,78455
263,1727112,Kid Devine,77611
264,53217,kepstin,77190
265,461721,Ataki,76994
266,2000398,Antiguastrea,76855
267,1969837,BAW11,76841
268,626919,fvanrenterghem,76268
269,593889,MimiLeckie,75982
270,121591,derat,75564
271,1295133,igonuts,75440
272,2508960,sylvietm,74932
273,2433844,tbmsmg,74391
274,1026557,RogerTheCat,74287
275,1351874,GuilhermeHideki,74092
276,2391966,donadonasa,73995
277,1807008,elQuotho,73651
278,551316,jerry1970,73435
279,131748,gnu_andrew,72558
280,134975,sydan,72312
281,2384952,1st_Of_A_Kind,71931
282,478668,sbontrager,71673
283,927482,cacabuzztoes,71521
284,374218,hds,71457
285,2221961,liamde123,71154
286,2371430,derat_bot,71063
287,47662,Gogo,70394
288,2259630,rinsuki,70107
289,85840,cooperaa,69822
290,2630396,Oil4,69756
291,506697,JeroenBot,69565
292,550498,mblupe2,69525
293,90541,Shepard,69450
294,2380517,inaneswine,69375
295,339844,Deleted Editor #339844,68891
296,2031254,amenbrother,68842
297,1298452,macaumetal,68115
298,698316,Van de Bugger,67714
299,2231394,teethfairy,67080
300,221793,dmppanda,66860
301,425878,Cheezmo,66421
302,2207913,slovaph,66375
303,1232325,EvO4life,66330
304,2669579,DarkAdonis,65604
305,283119,Alan_New,65401
306,133198,crazee_canuck,65186
307,342956,Dr. Default,64137
308,1307775,KebabFrites,64022
309,1950056,ernan,63161
310,2143209,lazybookwyrm,62972
311,606116,lukz_bot,62800
312,1919220,DontMindMe,62361
313,2380401,Aszazin,62087
314,2608284,xodus,62074
315,470731,jpmoss,61555
316,2438733,Fujimoto,61482
317,2124592,mattgoldspink,61272
318,2116212,desert188,61047
319,2069085,PierPiero,60845
320,158184,werkkrew,60604
321,1717618,little_loli,60601
322,566387,Tscharbo,60428
323,657841,willy95100,60076
324,2,FreeDB,59971
325,2029433,jmariani,59968
326,20915,Zastai,59960
327,211750,crappy,59763
328,526863,psychoadept,59739
329,169095,lytron,59534
330,2295846,Muxxer,59166
331,11100,RhYnoECfnW,59071
332,64411,Cthulhu-fi,59034
333,133310,JM.Beaubourg,58685
334,1985352,Mihey2K,58508
335,297887,DEDan,58129
336,214929,InvisibleMan78,57926
337,1516984,minimiggs,57881
338,474599,RyanThaDude,57848
339,2180134,JackWhelpton,57456
340,519178,Jazzy Jarilith,57251
341,1681849,thomnottom,57226
342,418819,hacketiwack,57127
343,422110,Killinstinct,57074
344,449206,davygrvy,57027
345,155226,mawiles,56935
346,453127,blackteadarkmatter,56910
347,595467,FIANHYDE,56787
348,1658632,garethdev,56614
349,83657,Pianissimo84,56235
350,1358990,hiabcwelcome,56140
351,1940795,nedotepa,55909
352,332862,mat813,55778
353,311387,Per Starbäck,55760
354,2198659,rhetticent,55662
355,500215,spl0k,55630
356,678525,Deleted Editor #678525,54950
357,1027816,ushiwatat,54387
358,131974,StoneyBoh,54353
359,2181167,Comrade Mike,54023
360,2652974,error911,53885
361,702926,xhienne,53882
362,1274938,oscarivask,53545
363,73463,Schika,53436
364,798287,Avamander,53314
365,2522228,gguigui,53269
366,2476111,8e9c0a5141ac,53093
367,577491,indy133,52699
368,2084779,SandraCorbee,52641
369,196502,D4RK-PH0ENiX,52601
370,2039816,nadl40,52057
371,2097007,ruben_nebur,52027
372,177911,HeavyTony,51914
373,1551856,Heurtebise,51701
374,1759961,michelv,51687
375,453993,alfar,51687
376,94387,lukz,51520
377,51298,dirtyboots,51495
378,2067498,transcendentaldaffodil,51257
379,2111142,Zauberwald,50962
380,2212707,sg17,50568
381,1492949,aigado,50453
382,2605996,Zentheon,50404
383,522345,ArchTangent,50362
384,2121591,Gbrady43068,50239
385,637561,djphrydy,50199
386,397675,ChurruKa,50128
387,1802546,SamiP,50121
388,21079,fdsa__,50027
389,482738,viper666,50011
390,1690940,TheFreeMind,49533
391,197490,Joan Whittaker,49498
392,2111819,r1990297,49451
393,385620,Salem874,49418
394,692202,Jazz Guy,49288
395,1283651,dirkvandamme,49169
396,1831456,KEXP_MD,49030
397,2021071,Toad King,48748
398,193022,jrx,48702
399,518894,ru-ru-,48667
400,1399353,rdswift,48459
401,2330342,GABG,48410
402,151561,ssundell,48407
403,2040792,Deleted Editor #2040792,48372
404,232267,navap,48220
405,232535,mwlsyn,48185
406,2434209,Mommy Dahmer,48045
407,2191230,Backstage Música,47921
408,2021714,VonStupp,47741
409,2078154,iolomorganwg,47613
410,2140105,raminou,47600
411,2134575,yyb987,47585
